Category,Sub-Category,Product Name,Max Order Quantity,Price,Warehouse Quantity,Production Price
Furniture,Bookcases,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",2,163.87,200,122.9
Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",3,260.98,300,195.74
Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5,238.83,500,179.12
Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",5,185.1,500,138.82
Furniture,Bookcases,Bestar Classic Bookcase,7,53.33,700,40.0
Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",9,103.19,900,77.39
Furniture,Bookcases,"Bush Birmingham Collection Bookcase, Dark Cherry",9,91.69,900,68.77
Furniture,Bookcases,"Bush Cubix Collection Bookcases, Fully Assembled",2,220.98,200,165.74
Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",2,119.83,200,89.87
Furniture,Bookcases,Bush Mission Pointe Library,2,111.73,200,83.8
Furniture,Bookcases,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",1,119.83,100,89.87
Furniture,Bookcases,Bush Somerset Collection Bookcase,3,85.14,300,63.86
Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",4,82.8,400,62.1
Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",7,44.41,700,33.31
Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,1,400.78,100,300.58
Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",5,430.98,500,323.24
Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,8,65.64,800,49.23
Furniture,Bookcases,"Hon Metal Bookcases, Black",3,70.98,300,53.24
Furniture,Bookcases,"Hon Metal Bookcases, Putty",9,70.98,900,53.24
Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,9,180.98,900,135.73
Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,7,34.01,700,25.51
Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,3,45.54,300,34.16
Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,13,78.64,1300,58.98
Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Bookcase,1,84.98,100,63.74
Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",5,102.6,500,76.95
Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,5,102.83,500,77.12
Furniture,Bookcases,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,5,149.31,500,111.98
Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,3,148.73,300,111.55
Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2,748.83,200,561.62
Furniture,Bookcases,Rush Hierlooms Collection Rich Wood Bookcases,3,109.47,300,82.1
Furniture,Bookcases,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",8,60.33,800,45.25
Furniture,Bookcases,Sauder Barrister Bookcases,4,55.07,400,41.3
Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",2,120.98,200,90.74
Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",4,103.48,400,77.61
